Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk
BMeadows30.txt	1	2370	44.24	50.51	67.44	25.09	37.03	13.76	80.89	7.68	3.80	3.84	0.21	2.41	0.68	10.84	0.38	0.72	1.01	1.48	3.59	1.39	0.63	0.80	0.59	8.10	2.78	1.98	2.78	2.11	0.38
AWgypsy11.txt	1	3350	16.10	28.23	84.20	51.46	14.82	13.01	89.34	9.91	5.61	4.24	0.21	2.57	0.60	9.22	0.24	0.27	0.90	0.99	4.06	1.58	0.78	0.75	1.16	7.25	1.97	1.04	1.97	2.09	0.45
tankwilson.txt	1	3830	79.88	50.63	56.87	53.77	8.29	14.10	72.69	5.87	3.66	2.17	0.21	1.04	0.47	6.29	1.02	0.29	0.86	0.68	4.44	1.36	0.99	0.29	1.91	6.97	1.88	1.62	1.96	2.48	0.21
Mohammed__Lee.txt	1	1438	45.79	47.22	65.77	73.78	10.57	18.22	75.94	7.72	5.15	2.57	0.21	1.46	0.63	8.41	0.56	0.49	0.76	0.97	2.71	0.97	0.56	0.56	0.76	6.68	2.09	1.18	1.74	1.88	0.35
DerekPotts63.txt	1	1922	56.20	55.37	55.29	34.82	33.72	16.39	77.16	6.04	3.28	2.76	0.21	0.99	0.47	8.74	0.52	0.52	0.88	1.09	2.97	0.73	0.83	0.21	1.30	7.39	2.29	1.14	2.71	1.35	0.36
jack_witek.txt	1	8700	70.38	65.47	19.71	39.54	14.80	22.26	70.82	4.79	2.77	2.00	0.21	0.86	0.36	8.36	0.14	0.32	0.23	1.00	1.53	0.32	0.47	0.21	0.47	6.95	2.16	1.13	2.69	1.14	0.59
britWilkinson00.txt	1	970	48.78	43.44	77.67	10.24	14.48	13.30	86.39	7.01	2.89	4.12	0.21	1.55	1.03	8.87	1.13	0.52	1.03	1.44	4.02	2.06	0.82	0.52	0.41	6.80	1.86	1.44	1.75	1.75	0.72
tommy_schureman.txt	1	10731	46.88	58.33	52.89	66.68	9.13	17.52	79.35	7.10	4.63	2.47	0.21	1.09	0.40	10.12	0.48	0.75	0.85	1.32	3.21	0.92	0.59	0.50	1.03	7.10	2.57	0.97	1.78	2.03	0.41
njp3d.txt	1	3415	53.02	48.59	57.15	29.19	87.56	14.90	80.09	5.01	2.58	2.37	0.20	1.26	0.29	9.31	0.56	0.41	0.41	1.58	3.37	1.05	0.76	0.61	0.97	7.76	2.11	1.58	2.43	2.34	0.56
Tvichi22.txt	1	2943	29.52	38.10	73.33	12.66	16.72	15.19	81.48	8.46	3.74	4.72	0.20	3.06	0.48	10.94	0.41	0.82	0.71	0.92	4.89	1.53	1.02	1.43	0.75	7.07	2.89	0.75	2.04	1.70	0.20
muthafuqq.txt	1	3940	53.02	33.21	55.98	6.05	64.59	14.21	79.70	9.77	3.91	5.71	0.20	3.38	0.89	7.54	0.28	0.71	0.74	0.94	5.81	1.70	1.29	1.12	1.75	6.02	1.37	1.02	2.23	1.45	0.58
katalynamarie.txt	1	2957	51.47	54.97	77.67	86.62	20.68	16.27	82.65	8.39	5.85	2.33	0.20	0.74	0.68	10.04	0.68	0.78	0.57	0.71	4.53	0.95	1.32	0.17	1.25	7.44	3.04	1.29	2.06	1.42	0.61
KwanTrae.txt	1	494	30.26	35.01	66.06	64.15	9.50	12.96	82.19	6.88	4.45	2.43	0.20	1.62	0.20	7.69	0.61	0.00	0.81	0.40	3.85	1.42	1.01	0.40	0.61	5.87	1.01	1.21	0.81	2.63	0.61
justlikehoneyxx.txt	1	7496	29.07	36.33	67.71	36.83	35.03	13.23	86.35	9.66	5.12	4.50	0.20	2.79	0.63	10.66	0.76	0.60	1.05	1.36	4.30	1.56	0.67	0.96	0.73	7.44	2.48	1.17	1.99	1.81	0.41
sean_raw69.txt	1	2528	60.08	48.73	53.46	32.56	23.41	13.77	80.02	6.72	3.56	3.16	0.20	2.22	0.12	8.78	0.28	0.28	0.36	1.78	4.75	1.70	0.63	1.03	1.46	7.99	1.78	1.98	2.37	2.29	0.36
Lindsay_Boyer.txt	1	1518	65.41	61.42	43.11	62.01	24.48	19.50	71.67	6.52	4.22	2.31	0.20	1.25	0.46	9.22	0.86	0.40	1.25	1.32	3.62	1.52	0.33	0.59	1.19	6.19	2.04	1.32	1.71	1.98	0.26
natalie_priest7.txt	1	4058	64.88	42.95	44.92	84.46	14.54	16.04	70.08	5.62	4.41	1.08	0.20	0.15	0.12	5.59	0.37	0.27	0.32	0.39	5.42	0.62	2.00	0.00	2.49	5.08	1.40	0.89	1.18	1.70	0.27
JamieDRJ.txt	1	2035	64.67	30.81	69.61	46.60	11.50	18.77	77.30	7.71	4.37	3.24	0.20	2.26	0.25	4.86	0.20	0.25	0.10	0.29	4.52	0.25	2.41	0.88	2.65	6.24	1.23	1.62	1.82	2.21	0.10
