Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	drives	affiliation	achieve	power	reward	risk
TylerSchulz6.txt	1	2513	57.68	44.79	56.93	17.14	93.07	14.60	75.93	7.36	3.38	3.98	0.12	2.63	0.32	8.48	1.51	0.36	0.84	1.67	8.56	2.87	1.55	2.03	2.11	0.60
valllgare.txt	1	4394	50.83	31.81	61.54	37.44	19.53	15.93	75.28	8.85	4.71	4.05	0.23	2.50	0.39	6.33	0.36	0.64	0.48	0.50	5.99	1.27	1.39	1.64	1.98	0.25
VicVicVict0rius.txt	1	3508	63.40	30.59	67.12	12.53	60.48	20.30	75.74	5.67	2.31	3.31	0.51	1.94	0.20	6.39	0.77	0.29	0.60	0.66	5.90	1.65	0.68	1.91	1.88	0.23
Viktoria_white.txt	1	12731	40.51	61.75	45.64	48.51	39.29	17.28	77.46	7.20	4.19	2.96	0.27	1.39	0.63	11.24	0.54	0.86	1.12	1.90	8.29	2.72	1.18	2.86	1.96	0.42
Vixoen.txt	1	10539	58.14	28.23	86.58	30.07	11.37	16.64	86.11	5.78	2.98	2.72	0.25	1.20	0.54	8.31	0.45	0.95	1.08	1.41	6.40	1.75	1.05	2.07	1.45	0.42
wes_27.txt	1	4983	56.53	55.42	25.55	38.62	25.95	18.24	66.93	6.10	3.41	2.69	0.08	1.75	0.34	10.86	0.24	0.56	0.74	1.06	4.78	1.59	0.76	1.16	1.30	0.28
wudupchuck.txt	1	11169	74.33	44.27	28.36	49.25	13.93	17.60	60.79	6.11	3.67	2.41	0.17	1.24	0.37	5.95	0.24	0.47	0.53	0.53	5.77	1.62	1.20	1.61	1.63	0.34
wynterfail.txt	1	4833	62.08	45.87	18.88	45.94	13.24	17.79	65.69	8.05	4.57	3.48	0.33	1.53	0.81	6.87	0.43	0.50	0.48	0.93	4.76	2.11	0.95	0.95	0.95	0.27
xJessielou.txt	1	5716	61.12	47.13	68.64	73.47	62.13	18.68	73.64	6.88	4.67	2.12	0.44	0.42	0.56	7.72	0.54	0.98	1.17	0.66	7.31	3.13	1.54	1.43	1.80	0.45
yourmainbishh.txt	1	587	39.12	41.25	54.23	3.30	19.57	12.95	85.69	7.33	2.39	4.77	0.34	2.04	1.19	11.41	0.68	1.87	2.21	1.87	8.18	3.41	2.04	1.70	2.04	0.34
yufckinlovebre.txt	1	4811	27.11	27.96	57.38	53.93	28.13	13.12	80.21	9.52	5.47	3.97	0.17	2.60	0.29	8.63	0.73	0.67	0.73	1.58	6.26	1.83	0.85	1.60	1.95	0.48
yuppyprincess.txt	1	17846	32.58	31.70	80.41	31.60	54.24	14.26	83.39	6.52	3.41	3.07	0.28	1.37	0.71	8.69	0.39	1.00	0.58	0.74	6.46	1.88	1.26	1.85	1.52	0.54
_badcash.txt	1	24722	31.74	36.25	77.05	30.20	35.32	11.73	81.67	6.64	3.44	3.18	0.13	1.94	0.54	11.22	0.87	0.70	1.02	1.22	7.20	2.50	1.08	1.91	2.00	0.26
_FollowMyTrelle.txt	1	16485	43.70	43.95	49.97	76.82	11.14	15.51	76.02	9.98	6.35	3.59	0.13	2.04	0.38	9.38	0.70	0.25	0.96	1.28	5.90	1.77	0.98	1.57	1.64	0.42
_jessicakanney.txt	1	4440	37.45	41.02	71.79	73.69	20.37	13.40	82.84	8.56	5.52	2.95	0.43	0.99	0.86	8.06	0.45	0.41	0.65	0.54	6.37	2.09	1.04	1.67	1.96	0.45
_kcbland.txt	1	14457	22.12	39.78	78.62	34.79	42.65	10.87	86.23	8.25	4.35	3.83	0.29	1.96	0.68	11.09	1.11	0.45	1.46	1.31	7.98	2.70	1.51	1.82	2.03	0.59
_minaBObina.txt	1	19993	33.92	26.28	82.08	66.92	10.21	13.61	86.07	7.08	4.61	2.44	0.34	0.81	0.52	8.61	1.09	0.29	1.24	0.98	6.48	1.63	1.28	1.62	2.00	0.42
_SamiBrandt.txt	1	10070	30.56	34.95	73.88	61.55	12.65	14.35	84.52	7.35	4.60	2.71	0.35	0.78	0.78	7.44	0.38	0.65	0.65	0.63	6.07	2.16	1.10	1.19	1.98	0.31
_tdazeee.txt	1	2607	52.90	74.17	24.39	49.32	14.73	21.83	65.75	4.56	2.92	1.65	0.27	0.61	0.50	11.78	0.69	1.15	0.77	1.80	6.18	2.34	0.92	1.46	1.53	0.54
__slimjim__.txt	1	607	78.63	63.54	41.88	79.74	35.71	15.82	75.29	6.26	4.61	1.65	0.16	1.48	0.00	7.91	0.16	0.49	0.49	0.99	6.59	1.15	1.15	1.65	3.13	0.16
